round_id,player_id,hole_id,shot_id,start_coords,end_coords,club,bearing,rating
5,1,1,3,"(51.603959655530026, -0.2196612415438606)","(51.603826627000984, -0.21959376821227347)",6-Iron,294.5732582594893,0.058861944221475775
5,1,1,4,"(51.603826627000984, -0.21959376821227347)","(51.603267875969884, -0.2193505388139432)",9-Iron,294.1734124734744,0.5018882504797069
5,1,1,5,"(51.603267875969884, -0.2193505388139432)","(51.6033130397361, -0.21937233554851104)",SW,295.71610403442,0.271017894797109
5,1,1,6,"(51.6033130397361, -0.21937233554851104)","(51.603090721112345, -0.21925693861511766)",SW,295.72374669850814,0.9213886454437448
6,2,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60469509616318, -0.21972090582691597)",Driver,286.97378621432694,0.5976710018339699
6,2,1,2,"(51.60469509616318, -0.21972090582691597)","(51.60385757458028, -0.2194997259823787)",3-Wood,286.1964120979278,0.27257249175089016
6,2,1,3,"(51.60385757458028, -0.2194997259823787)","(51.603220963413854, -0.2194970014567819)",LW,287.607573534552,0.65020534623462
6,2,1,4,"(51.603220963413854, -0.2194970014567819)","(51.603116304646626, -0.21935244189654637)",SW,324.4503371266546,0.7959588426186187
6,2,1,5,"(51.603116304646626, -0.21935244189654637)","(51.603110793497585, -0.21934525446186007)",SW,324.9070283327372,0.6000115358465204
6,2,1,6,"(51.603110793497585, -0.21934525446186007)","(51.603098202211804, -0.21933069422712803)",SW,325.0741597089527,0.6405914766486563
7,2,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60471055780762, -0.21970511505106965)",3-Wood,286.97378621432694,0.739782840604112
7,2,1,2,"(51.60471055780762, -0.21970511505106965)","(51.60394407418922, -0.21949767600634065)",3-Wood,285.5541019904221,0.22022042110164763
7,2,1,3,"(51.60394407418922, -0.21949767600634065)","(51.60312644470404, -0.21927691950816383)",GW,285.8995302248745,0.9908622619030112
8,2,1,1,"(51.60576426300037, -0.22007174187974488)","(51.604596369117054, -0.21973012565251346)",Driver,286.97378621432694,0.7327729066786637
8,2,1,2,"(51.604596369117054, -0.21973012565251346)","(51.60341147914891, -0.2195513564837445)",3-Wood,287.47177903201197,0.5529486523427344
8,2,1,3,"(51.60341147914891, -0.2195513564837445)","(51.603100400601775, -0.21926994557448687)",SW,309.7930434828368,0.9366151109593195
9,3,1,1,"(51.60576426300037, -0.22007174187974488)","(51.605004653754, -0.21997042653771115)",Driver,286.97378621432694,0.6622499584750277
9,3,1,2,"(51.605004653754, -0.21997042653771115)","(51.60488852641585, -0.21993109491044063)",3-Hybrid,290.3833168560995,0.06697512007540847
9,3,1,3,"(51.60488852641585, -0.21993109491044063)","(51.604587585435034, -0.21970237452639851)",3-Hybrid,290.4870215071021,0.5786836868041254
9,3,1,4,"(51.604587585435034, -0.21970237452639851)","(51.60403282757763, -0.21957064001537419)",3-Wood,286.6280221549691,0.7673676578530773
9,3,1,5,"(51.60403282757763, -0.21957064001537419)","(51.603287175891374, -0.21922299068317525)",3-Wood,288.40331851489907,0.9979636563118796
9,3,1,6,"(51.603287175891374, -0.21922299068317525)","(51.603153157135736, -0.21920366349630166)",SW,266.2895564809749,0.7924437785223373
10,3,1,1,"(51.60576426300037, -0.22007174187974488)","(51.605346172340596, -0.21984440703840882)",3-Wood,286.97378621432694,0.4630435361400028
10,3,1,2,"(51.605346172340596, -0.21984440703840882)","(51.60496211106179, -0.21962205369470503)",3-Hybrid,284.6841606679049,0.4823137848455055
10,3,1,3,"(51.60496211106179, -0.21962205369470503)","(51.604410979592224, -0.21948589777452604)",3-Hybrid,281.2456978893511,0.82105245733777
10,3,1,4,"(51.604410979592224, -0.21948589777452604)","(51.60403261760884, -0.21937920626432766)",3-Wood,280.17608568615424,0.37241433285771464
10,3,1,5,"(51.60403261760884, -0.21937920626432766)","(51.60358571896009, -0.2192086584835949)",3-Hybrid,278.00102549571534,0.7577134938480456
10,3,1,6,"(51.60358571896009, -0.2192086584835949)","(51.603109888164596, -0.21912864960802933)",8-Iron,266.8124584222374,0.6964568364032697
10,3,1,7,"(51.603109888164596, -0.21912864960802933)","(51.60308406833781, -0.21918332433824952)",SW,213.47753506196773,0.7741721268569762
11,3,1,1,"(51.60576426300037, -0.22007174187974488)","(51.605223257789426, -0.21983160683094194)",3-Wood,286.97378621432694,0.590998240991615
11,3,1,2,"(51.605223257789426, -0.21983160683094194)","(51.604905655539014, -0.21983388231591247)",3-Hybrid,285.15904535384425,0.48386834240927273
11,3,1,3,"(51.604905655539014, -0.21983388231591247)","(51.604984939034644, -0.21985232552980016)",3-Wood,287.6503259560408,0.0
11,3,1,4,"(51.604984939034644, -0.21985232552980016)","(51.60464875428901, -0.21960607264504095)",3-Hybrid,287.4689823038253,0.6257471131920467
11,3,1,5,"(51.60464875428901, -0.21960607264504095)","(51.60399424283847, -0.21933465566275118)",3-Wood,282.8205668329695,0.6721149399508084
11,3,1,6,"(51.60399424283847, -0.21933465566275118)","(51.60399679566486, -0.21933459737635014)",3-Hybrid,275.69149684691456,0.0
11,3,1,7,"(51.60399679566486, -0.21933459737635014)","(51.60331643821296, -0.21928638995069827)",3-Hybrid,275.67301700881717,0.7226222153602926
11,3,1,8,"(51.60331643821296, -0.21928638995069827)","(51.60323791458037, -0.21928390305684378)",SW,279.5712771046863,0.43046166910268774
11,3,1,9,"(51.60323791458037, -0.21928390305684378)","(51.60304066005554, -0.21917741223052342)",SW,282.5211543531593,0.9940152928901014
12,4,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60456762316076, -0.21969804996233844)",3-Wood,286.97378621432694,0.8139729276166983
12,4,1,2,"(51.60456762316076, -0.21969804996233844)","(51.60346738801347, -0.21923575410832605)",3-Wood,286.6842585188459,0.7067072474717769
12,4,1,3,"(51.60346738801347, -0.21923575410832605)","(51.60300521692948, -0.21929538854916525)",SW,269.5375107022545,0.9935080969304354
13,4,1,1,"(51.60576426300037, -0.22007174187974488)","(51.604410477068434, -0.21967287457302379)",3-Wood,286.97378621432694,0.9495435809868187
13,4,1,2,"(51.604410477068434, -0.21967287457302379)","(51.60336190507983, -0.21937837782672703)",5-Iron,287.5195596230798,0.6593261144472793
13,4,1,3,"(51.60336190507983, -0.21937837782672703)","(51.603275824453, -0.21933972611060376)",SW,293.16881489226233,0.3042449027352072
13,4,1,4,"(51.603275824453, -0.21933972611060376)","(51.60302501430366, -0.21922773345234342)",SW,292.800509367518,0.9995758034552877
14,4,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60431905676774, -0.21931735717984702)",Driver,286.97378621432694,0.6333139170309243
14,4,1,2,"(51.60431905676774, -0.21931735717984702)","(51.603057430813145, -0.21927406233873123)",5-Iron,273.4865909665723,0.9960844892399405
15,4,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60405325234943, -0.2195975128236247)",Driver,286.97378621432694,0.9882195680613661
15,4,1,2,"(51.60405325234943, -0.2195975128236247)","(51.60342952475095, -0.21941622981184147)",6-Iron,289.41610391265675,0.4445979844297895
15,4,1,3,"(51.60342952475095, -0.21941622981184147)","(51.603244402555575, -0.2193358013841414)",SW,294.2587951095347,0.3941842777428709
15,4,1,4,"(51.603244402555575, -0.2193358013841414)","(51.60301293216133, -0.21922455816919617)",SW,294.94235786761783,0.9987668041345721
16,5,1,1,"(51.60576426300037, -0.22007174187974488)","(51.605073572278336, -0.2196192320931088)",Driver,286.97378621432694,0.5789935382055242
16,5,1,2,"(51.605073572278336, -0.2196192320931088)","(51.60432970794119, -0.2196608560419191)",7-Iron,280.56806712129696,0.9783445426072757
16,5,1,3,"(51.60432970794119, -0.2196608560419191)","(51.60351072703312, -0.21941298435008133)",7-Iron,288.0610677378958,0.9799953679262439
16,5,1,4,"(51.60351072703312, -0.21941298435008133)","(51.603021440162266, -0.21937730865758034)",PW,290.13277558998203,0.9662001793040517
16,5,1,5,"(51.603021440162266, -0.21937730865758034)","(51.60302576692151, -0.2192376983924252)",LW,6.330335328671254,0.9998053573140466
17,5,1,1,"(51.60576426300037, -0.22007174187974488)","(51.604830847708186, -0.2198038525233596)",Driver,286.97378621432694,0.9793541086292163
17,5,1,2,"(51.604830847708186, -0.2198038525233596)","(51.60439811553144, -0.21978704651712366)",7-Iron,287.4695567864476,0.459428698950781
17,5,1,3,"(51.60439811553144, -0.21978704651712366)","(51.60411468342556, -0.219571291374775)",7-Iron,291.9202212038957,0.4744596723601469
17,5,1,4,"(51.60411468342556, -0.219571291374775)","(51.60404606312417, -0.21955200686719178)",7-Iron,287.1218735444398,0.03686536815777517
17,5,1,5,"(51.60404606312417, -0.21955200686719178)","(51.60353892509457, -0.21932127331765475)",7-Iron,287.2179691885733,0.7991459541066246
17,5,1,6,"(51.60353892509457, -0.21932127331765475)","(51.60308572962472, -0.219350354961516)",PW,279.2789711091217,0.9464172867872916
17,5,1,7,"(51.60308572962472, -0.219350354961516)","(51.60311279136994, -0.21940130343808698)",LW,336.2176495180368,0.3299334621563162
17,5,1,8,"(51.60311279136994, -0.21940130343808698)","(51.60305335967961, -0.2193327598631051)",LW,334.8675772392983,0.7891732464044847
18,6,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60467976588717, -0.21983945068242197)",3-Wood,286.97378621432694,0.9611721599607501
18,6,1,2,"(51.60467976588717, -0.21983945068242197)","(51.604468639710554, -0.21976471327133418)",5-Wood,290.0682987057895,0.06555356318547366
18,6,1,3,"(51.604468639710554, -0.21976471327133418)","(51.60343231491296, -0.21938673812817286)",5-Wood,290.1526567421658,0.6112393922075849
18,6,1,4,"(51.60343231491296, -0.21938673812817286)","(51.603126327094486, -0.21937327055347933)",SW,290.4512428836524,0.6252758060656172
18,6,1,5,"(51.603126327094486, -0.21937327055347933)","(51.60308052222688, -0.2192213752829013)",SW,326.24845087840936,0.9920229943389056
19,6,1,1,"(51.60576426300037, -0.22007174187974488)","(51.605319938317805, -0.21981999290463367)",Driver,286.97378621432694,0.1538295384711722
19,6,1,2,"(51.605319938317805, -0.21981999290463367)","(51.6042860761405, -0.21982846794715008)",5-Hybrid,284.2715198502463,0.7054726900997873
19,6,1,3,"(51.6042860761405, -0.21982846794715008)","(51.60338175344111, -0.21952303312608296)",5-Hybrid,295.25095573847517,0.6188789938497571
19,6,1,4,"(51.60338175344111, -0.21952303312608296)","(51.603019230250155, -0.21924487516219404)",SW,309.4419030415182,0.9994646077600422
20,7,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60495795648909, -0.2198298010406722)",Driver,286.97378621432694,0.15248441986850794
20,7,1,2,"(51.60495795648909, -0.2198298010406722)","(51.604037224148406, -0.21953402835255018)",3-Wood,287.0873936709035,0.20023886428149545
20,7,1,3,"(51.604037224148406, -0.21953402835255018)","(51.60331832524855, -0.2193042794997133)",GW,286.41829605308385,0.5740939002103886
20,7,1,4,"(51.60331832524855, -0.2193042794997133)","(51.6030157294975, -0.21923891081660016)",LW,283.0086814218797,0.9993007722244422
21,7,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60364636319824, -0.21960004137684286)",Driver,286.97378621432694,0.7096370476124154
21,7,1,2,"(51.60364636319824, -0.21960004137684286)","(51.60304106970325, -0.21926361455403043)",LW,300.6205017460196,0.9900709454104684
22,8,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60527773908762, -0.21971607277107955)",5-Wood,286.97378621432694,0.1674274446173194
22,8,1,2,"(51.60527773908762, -0.21971607277107955)","(51.60438770800632, -0.21977029718338692)",5-Hybrid,282.01249319469105,0.8287138516928911
22,8,1,3,"(51.60438770800632, -0.21977029718338692)","(51.60329695258319, -0.21959460437243705)",5-Wood,291.46024859921033,0.49509837978089805
22,8,1,4,"(51.60329695258319, -0.21959460437243705)","(51.60313717847015, -0.21948062935826532)",SW,323.7897327984897,0.4745799083133141
22,8,1,5,"(51.60313717847015, -0.21948062935826532)","(51.60307672763364, -0.21929841849218484)",SW,337.41321659865395,0.8873701933205492
23,8,1,1,"(51.60576426300037, -0.22007174187974488)","(51.605243065066745, -0.21982006777204346)",Driver,286.97378621432694,0.15825956707447084
23,8,1,2,"(51.605243065066745, -0.21982006777204346)","(51.60422002027921, -0.2194935815647041)",5-Hybrid,284.7492612830424,0.971277759455597
23,8,1,3,"(51.60422002027921, -0.2194935815647041)","(51.603307353911184, -0.2192392266771059)",5-Hybrid,282.1316526655096,0.9168222789873866
23,8,1,4,"(51.603307353911184, -0.2192392266771059)","(51.603187554841654, -0.21921184400197125)",SW,269.99925807559407,0.7444769100218214
23,8,1,5,"(51.603187554841654, -0.21921184400197125)","(51.60306563601879, -0.219255105533867)",SW,259.7066212661535,0.9346208551729209
24,8,1,1,"(51.60576426300037, -0.22007174187974488)","(51.6046533115045, -0.2197447219107128)",5-Wood,286.97378621432694,0.7947137722360187
24,8,1,2,"(51.6046533115045, -0.2197447219107128)","(51.60395835863138, -0.21967735120805043)",5-Wood,287.3644363398846,0.19397046271173335
24,8,1,3,"(51.60395835863138, -0.21967735120805043)","(51.603214013852245, -0.21932621721544746)",8-Iron,295.4261813449679,0.6748416421783698
24,8,1,4,"(51.603214013852245, -0.21932621721544746)","(51.60302562127561, -0.21921219309717546)",SW,296.13936575196686,0.9986637160622246
25,8,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60514224089853, -0.2198897470093089)",Driver,286.97378621432694,0.17721381780696643
25,8,1,2,"(51.60514224089853, -0.2198897470093089)","(51.604434802903384, -0.21966005229876603)",5-Hybrid,287.1693434706521,0.6923579100958286
25,8,1,3,"(51.604434802903384, -0.21966005229876603)","(51.60302160059577, -0.21935902207285887)",5-Wood,286.75230967878906,0.9801890785962044
26,8,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60478687694358, -0.2197545939972788)",5-Wood,286.97378621432694,0.6172306893037807
26,8,1,2,"(51.60478687694358, -0.2197545939972788)","(51.603673084341494, -0.2194650695213139)",5-Wood,286.40842221439283,0.7482674042644268
26,8,1,3,"(51.603673084341494, -0.2194650695213139)","(51.60309969524985, -0.21908902836017857)",SW,289.54048267883434,0.7351291350425799
26,8,1,4,"(51.60309969524985, -0.21908902836017857)","(51.602978234176106, -0.2192540481970937)",SW,202.73431531099004,0.9942429789318036
27,8,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60446437872457, -0.2196728400205557)",5-Wood,286.97378621432694,0.966933485598777
27,8,1,2,"(51.60446437872457, -0.2196728400205557)","(51.603286528198694, -0.21934573273121435)",5-Wood,286.89517541458906,0.5501698036613675
27,8,1,3,"(51.603286528198694, -0.21934573273121435)","(51.60323950697033, -0.2193265100318861)",SW,293.0936788521912,0.2840921990716504
27,8,1,4,"(51.60323950697033, -0.2193265100318861)","(51.60325563489815, -0.21933417019651294)",SW,293.29120567312697,0.2040827416938836
27,8,1,5,"(51.60325563489815, -0.21933417019651294)","(51.60307890171673, -0.21926134208522774)",SW,293.4494451571247,0.9168832965124191
28,9,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60492728618785, -0.219795139303705)",Driver,286.97378621432694,0.5506274289751123
28,9,1,2,"(51.60492728618785, -0.219795139303705)","(51.60411371777995, -0.219645047777176)",7-Iron,286.3860662616102,0.8018663048953492
28,9,1,3,"(51.60411371777995, -0.219645047777176)","(51.603059319710574, -0.21954321937991375)",7-Iron,290.64744296167646,0.6832496433152366
28,9,1,4,"(51.603059319710574, -0.21954321937991375)","(51.60304011490479, -0.2192722556834639)",LW,355.755442696625,0.9561820914574828
29,9,1,1,"(51.60576426300037, -0.22007174187974488)","(51.605401266824266, -0.21991432657136695)",Driver,286.97378621432694,0.13094426462156247
29,9,1,2,"(51.605401266824266, -0.21991432657136695)","(51.6047302197003, -0.2195049880951998)",7-Iron,285.9348050688317,0.5272484474924941
29,9,1,3,"(51.6047302197003, -0.2195049880951998)","(51.60392220882967, -0.21951805649987763)",7-Iron,278.9188484749499,0.7788815754930989
29,9,1,4,"(51.60392220882967, -0.21951805649987763)","(51.603211208467336, -0.21953281552267928)",8-Iron,287.4792123667789,0.6209021737960276
29,9,1,5,"(51.603211208467336, -0.21953281552267928)","(51.603037454545984, -0.21923905668908886)",LW,329.2811466848661,0.9999991866803558
30,9,1,1,"(51.60576426300037, -0.22007174187974488)","(51.605443883953605, -0.21995392602697497)",Driver,286.97378621432694,0.11297231937003556
30,9,1,2,"(51.605443883953605, -0.21995392602697497)","(51.604526640719335, -0.21967188484558564)",7-Iron,286.5367070898735,0.9454249055136601
30,9,1,3,"(51.604526640719335, -0.21967188484558564)","(51.60354852871375, -0.21955049855445313)",7-Iron,286.1931517575279,0.67239738604067
30,9,1,4,"(51.60354852871375, -0.21955049855445313)","(51.6035080442278, -0.21952457464217182)",LW,301.3089369827845,0.22035121119711698
30,9,1,5,"(51.6035080442278, -0.21952457464217182)","(51.60320550665285, -0.2191489373146873)",LW,301.1933844794406,0.7384569712636135
30,9,1,6,"(51.60320550665285, -0.2191489373146873)","(51.603173894297605, -0.21915958003576833)",LW,241.84974832223236,0.4058236730445771
30,9,1,7,"(51.603173894297605, -0.21915958003576833)","(51.60326001463632, -0.21913885923016438)",LW,239.8513152130794,0.30329469314912755
30,9,1,8,"(51.60326001463632, -0.21913885923016438)","(51.60322331996415, -0.21915421079323125)",LW,245.79224981616835,0.3851150491947148
30,9,1,9,"(51.60322331996415, -0.21915421079323125)","(51.60304507450724, -0.21923628679664064)",LW,245.50026652467415,0.9830222618543183
31,9,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60480777854415, -0.21978164333030809)",Driver,286.97378621432694,0.862674678558685
31,9,1,2,"(51.60480777854415, -0.21978164333030809)","(51.60453289536639, -0.21969283490036573)",7-Iron,287.02845143780263,0.10886915128299401
31,9,1,3,"(51.60453289536639, -0.21969283490036573)","(51.603548323956915, -0.21911101284307305)",7-Iron,286.86657416258834,0.723511561683144
31,9,1,4,"(51.603548323956915, -0.21911101284307305)","(51.6031007580918, -0.21935327426000073)",LW,255.9293061402222,0.9882013305442992
31,9,1,5,"(51.6031007580918, -0.21935327426000073)","(51.60308360897305, -0.21933671659004297)",LW,330.69969891934693,0.6550566149390326
32,10,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60474978187339, -0.21974607252384096)",Driver,286.97378621432694,0.9862565616370281
32,10,1,2,"(51.60474978187339, -0.21974607252384096)","(51.604360375358944, -0.21962422919313365)",5-Wood,286.4823253869177,0.40560201874708335
32,10,1,3,"(51.604360375358944, -0.21962422919313365)","(51.603761647767406, -0.21949672790195285)",5-Wood,286.2181795811239,0.7189809051137825
32,10,1,4,"(51.603761647767406, -0.21949672790195285)","(51.603239138934, -0.2193031590071938)",8-Iron,289.5563610059212,0.5226020889607449
32,10,1,5,"(51.603239138934, -0.2193031590071938)","(51.60315822170601, -0.21929244931116862)",SW,287.5306179967131,0.7260675242881099
33,10,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60504371978908, -0.21985270465338086)",5-Wood,286.97378621432694,0.6776591765449107
33,10,1,2,"(51.60504371978908, -0.21985270465338086)","(51.604700407266954, -0.21982038542005092)",4-Hybrid,286.9971051318509,0.40887748895874787
33,10,1,3,"(51.604700407266954, -0.21982038542005092)","(51.60388995420725, -0.21927399073763135)",5-Wood,289.2557452125968,0.7315287137000273
33,10,1,4,"(51.60388995420725, -0.21927399073763135)","(51.603202859001485, -0.21942572184452613)",4-Hybrid,272.3330463420154,0.6663448922099025
33,10,1,5,"(51.603202859001485, -0.21942572184452613)","(51.60303076217891, -0.2192409059802727)",PW,318.31002239702985,0.9999387828434734
34,10,1,1,"(51.60576426300037, -0.22007174187974488)","(51.605497907746134, -0.21995452086517406)",5-Wood,286.97378621432694,0.14144825873620848
34,10,1,2,"(51.605497907746134, -0.21995452086517406)","(51.6049504351145, -0.21973864506466076)",4-Hybrid,286.205703953377,0.5946993578605828
34,10,1,3,"(51.6049504351145, -0.21973864506466076)","(51.6045544499835, -0.21965668953811338)",4-Hybrid,284.6264348268714,0.532871292230567
34,10,1,4,"(51.6045544499835, -0.21965668953811338)","(51.60420566297968, -0.21961615917692506)",5-Wood,285.3796599015029,0.2751425625816927
34,10,1,5,"(51.60420566297968, -0.21961615917692506)","(51.60329999108546, -0.21961669745140217)",5-Wood,287.87273304093515,0.5956555624094106
34,10,1,6,"(51.60329999108546, -0.21961669745140217)","(51.60314712330528, -0.21941326658521196)",PW,325.1095923752084,0.4351095501851532
34,10,1,7,"(51.60314712330528, -0.21941326658521196)","(51.60313320594844, -0.2194010908599204)",SW,327.6194008547764,0.36261844734941895
34,10,1,8,"(51.60313320594844, -0.2194010908599204)","(51.603124774041156, -0.2193881842170594)",PW,329.21080597053765,0.364761445590884
34,10,1,9,"(51.603124774041156, -0.2193881842170594)","(51.60315534040259, -0.21944453619441753)",PW,329.42167980112566,0.2048099298145438
34,10,1,10,"(51.60315534040259, -0.21944453619441753)","(51.603108531747914, -0.21935729904688883)",SW,329.9900025290218,0.7378195327882163
34,10,1,11,"(51.603108531747914, -0.21935729904688883)","(51.60297596098023, -0.21919611285884616)",PW,328.7049803548856,0.9912568789691288
35,10,1,1,"(51.60576426300037, -0.22007174187974488)","(51.6050290736782, -0.22010434333517034)",5-Wood,286.97378621432694,0.6026452215172393
35,10,1,2,"(51.6050290736782, -0.22010434333517034)","(51.60471428633352, -0.22001801764722959)",4-Hybrid,293.47184095836917,0.21657606129581364
35,10,1,3,"(51.60471428633352, -0.22001801764722959)","(51.603832464444075, -0.2198689095906568)",4-Hybrid,294.90310442758675,0.6265329372661
35,10,1,4,"(51.603832464444075, -0.2198689095906568)","(51.60356478005737, -0.21964730166732796)",4-Hybrid,308.3564156640376,0.24740180511208665
35,10,1,5,"(51.60356478005737, -0.21964730166732796)","(51.60332215009812, -0.21947192319400516)",7-Iron,307.6981564321698,0.479521986037276
35,10,1,6,"(51.60332215009812, -0.21947192319400516)","(51.60323420175235, -0.21937410591584117)",PW,309.19214191944286,0.44906684118663437
35,10,1,7,"(51.60323420175235, -0.21937410591584117)","(51.60312360951986, -0.2192892804650387)",PW,304.3375939897573,0.8178267961293395
36,10,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60523437754338, -0.2200664790577026)",5-Wood,286.97378621432694,0.44050724144981246
36,10,1,2,"(51.60523437754338, -0.2200664790577026)","(51.60471859682281, -0.21988467246699958)",4-Hybrid,290.627956217255,0.7210007480557783
36,10,1,3,"(51.60471859682281, -0.21988467246699958)","(51.60431321894779, -0.21977068323666973)",5-Wood,290.9955338766391,0.3820558667880193
36,10,1,4,"(51.60431321894779, -0.21977068323666973)","(51.6033750564036, -0.2194963920905567)",5-Wood,292.60449900250836,0.7019370029796591
36,10,1,5,"(51.6033750564036, -0.2194963920905567)","(51.60308581966052, -0.21923211075185883)",PW,307.24097618470364,0.9652604435965889
37,10,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60531700988133, -0.2200624441782584)",5-Wood,286.97378621432694,0.34727672912045726
37,10,1,2,"(51.60531700988133, -0.2200624441782584)","(51.604849913318425, -0.21979541808165384)",4-Hybrid,289.850672175132,0.7319239798156848
37,10,1,3,"(51.604849913318425, -0.21979541808165384)","(51.6040828659659, -0.2195750639608965)",5-Wood,287.0535844794729,0.9407242698075635
37,10,1,4,"(51.6040828659659, -0.2195750639608965)","(51.60337239336491, -0.21924414332295183)",5-Wood,287.7983997409065,0.925711239323731
37,10,1,5,"(51.60337239336491, -0.21924414332295183)","(51.60304378586988, -0.21916166658521674)",PW,270.8386613647094,0.9905381079541505
38,11,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60500890132932, -0.21984993174464598)",3-Wood,286.97378621432694,0.21771284888301956
38,11,1,2,"(51.60500890132932, -0.21984993174464598)","(51.603379934630944, -0.21936716903066528)",5-Wood,287.2059823946959,0.7405623958908589
38,11,1,3,"(51.603379934630944, -0.21936716903066528)","(51.60306881266625, -0.21928852164650456)",SW,290.44598897562383,0.9443971507638206
39,12,1,1,"(51.60576426300037, -0.22007174187974488)","(51.60421503333343, -0.21956272625410553)",Driver,286.97378621432694,0.9877070553184341
39,12,1,2,"(51.60421503333343, -0.21956272625410553)","(51.60338469954714, -0.2195940477551349)",6-Iron,285.352412986085,0.41535890277120985
39,12,1,3,"(51.60338469954714, -0.2195940477551349)","(51.60311618271003, -0.21931314575662592)",LW,315.56081565131666,0.8948128493190044
40,12,1,1,"(51.60576426300037, -0.22007174187974488)","(51.6048051442232, -0.21976229783610218)",3-Wood,286.97378621432694,0.7305508414688197
40,12,1,2,"(51.6048051442232, -0.21976229783610218)","(51.60454792683632, -0.2196980945372999)",3-Wood,286.47770527440514,0.07931559035119169
40,12,1,3,"(51.60454792683632, -0.2196980945372999)","(51.60356278603751, -0.21940412013251032)",3-Wood,286.89095846023616,0.7246301953660874
40,12,1,4,"(51.60356278603751, -0.21940412013251032)","(51.60332379348129, -0.21932461601332495)",LW,287.4043683850637,0.4575204087938254
40,12,1,5,"(51.60332379348129, -0.21932461601332495)","(51.603049415292716, -0.219199311312323)",LW,286.566546936824,0.9972612108972014
41,12,1,1,"(51.60576426300037, -0.22007174187974488)","(51.605009677929004, -0.21984449492140573)",Driver,286.97378621432694,0.2035763964603935
41,12,1,2,"(51.605009677929004, -0.21984449492140573)","(51.604392894296815, -0.21963145934316972)",4-Hybrid,287.05541082748925,0.29066410232921946
41,12,1,3,"(51.604392894296815, -0.21963145934316972)","(51.60304090265962, -0.21922936364494328)",3-Wood,286.13132884143124,0.9905728822570219
